zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
85298,STANDARD,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.24,-111.7,31540
85299,PO BOX,0,Gilbert,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.33,-111.76,1472
85301,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.53,-112.18,56670
85302,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.57,-112.18,33750
85303,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.53,-112.22,31380
85304,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.59,-112.17,24500
85305,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.53,-112.26,11140
85306,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.62,-112.17,20880
85307,STANDARD,0,Glendale,Luke Afb,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.53,-112.31,8680
85308,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.66,-112.18,58290
85309,STANDARD,0,Glendale Luke Afb,"Gbafaf, Glendale, Luke Afb",,AZ,Maricopa County,America/Phoenix,623,NA,US,33.53,-112.38,350
85310,STANDARD,0,Glendale,,,AZ,Maricopa County,America/Phoenix,"623,928",NA,US,33.71,-112.17,18310
85311,PO BOX,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.53,-112.17,1246
85312,PO BOX,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.62,-112.18,1090
85313,UNIQUE,1,Glendale,Arizona State Univ West,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.6,-112.16,0
85318,PO BOX,0,Glendale,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.66,-112.18,1171
85320,PO BOX,0,Aguila,,,AZ,Maricopa County,America/Phoenix,,NA,US,33.81,-113.18,1025
85321,STANDARD,0,Ajo,,,AZ,Pima County,America/Phoenix,520,NA,US,32.24,-112.65,2760
85322,STANDARD,0,Arlington,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.18,-112.79,610
85323,STANDARD,0,Avondale,,Avondale-goodyear,AZ,Maricopa County,America/Phoenix,623,NA,US,33.44,-112.31,38720
85324,STANDARD,0,Black Canyon City,"Black Cyn Cty, Rock Springs",,AZ,Yavapai County,America/Phoenix,623,NA,US,34.13,-112.13,1990
85325,PO BOX,0,Bouse,,,AZ,La Paz County,America/Phoenix,928,NA,US,33.93,-113.86,524
